sim_time,event,data
0.00,BID,north=1.376 south=1.301
0.03,AUCTION_RESULT,"self=(0.6, -0.25) teammate_bid_received=True"
0.06,STATE,SEEK_FLAG x=-0.700 y=-0.200
6.30,STATE,EVADE_GUARD x=0.099 y=-0.227
6.88,GUARD_SEEN,"pos=(0.30,-0.05)"
7.04,GUARD_SEEN,"pos=(0.30,-0.27)"
7.55,GUARD_SEEN,"pos=(0.30,-0.33)"
8.51,STATE,SEEK_FLAG x=0.264 y=-0.193
12.35,ESCORT_MODE,triggered by raider 0
12.35,STATE,RETURN_TO_BASE x=0.634 y=-0.060
15.71,STATE,AVOID_OBSTACLE x=0.769 y=-0.345
16.67,STATE,RETURN_TO_BASE x=0.769 y=-0.345
16.80,STATE,AVOID_OBSTACLE x=0.769 y=-0.345
17.76,STATE,RETURN_TO_BASE x=0.769 y=-0.345
31.07,ESCORT_ARRIVED,"pos=(-0.51,-0.16)"
